,Systematic Name,Standard Name,Abundances uM
0,YMR191W,SPG5,0.00012840263999082778
1,YJL093C,TOK1,0.00014538820606894444
2,YER184C,TOG1,0.00018060573347091646
3,YGL063W,PUS2,0.0002100912360697088
4,YPL159C,PET20,0.0002645772752426814
5,YDR106W,ARP10,0.000306118350836964
6,YIR025W,MND2,0.00032122678376519145
7,YDR082W,STN1,0.0005295207028204541
8,YLR443W,ECM7,0.0005308367671787817
9,YNL038W,GPI15,0.0005824773389130933
10,YMR187C,YMR187C,0.0005865081120538103
11,YJR106W,ECM27,0.0006291738936023848
12,YNR063W,YNR063W,0.0006785546839409923
13,YBR297W,MAL33,0.0007398265883207215
14,YDR126W,SWF1,0.0013625429167622104
15,YJL213W,YJL213W,0.0022323203486585646
16,YJR126C,VPS70,0.002288599316632271
17,YHR176W,FMO1,0.020310862317444014
18,YOL043C,NTG2,0.003431950745050829
19,YLR210W,CLB4,0.0037797141328441497
20,YHR015W,MIP6,0.0037797141328441497
21,YDR314C,RAD34,0.011846258912322214
22,YKR041W,YKR041W,0.004462521695711993
23,YMR190C,SGS1,0.004593260007322098
24,YOL152W,FRE7,0.00459938553084155
25,YBR004C,GPI18,0.024745988305923988
26,YCR073C,SSK22,0.004698845830467019
27,YEL070W,DSF1,0.004777191775586639
28,YIR039C,YPS6,0.004795932691278759
29,Q0065,AI4,0.004885790358289383
30,YPL202C,AFT2,0.018814279409708288
31,YOR033C,EXO1,0.010546882883895131
32,YHR173C,YHR173C,0.005694412596499275
33,YLR087C,CSF1,0.0096841629372118
34,YGR110W,CLD1,0.018262269863274058
35,YDR104C,SPO71,0.006191240541160285
36,YJR161C,COS5,0.013430704469217725
37,YIL172C,IMA3,0.0063441106779790575
38,YBR203W,COS111,0.006643246872994649
39,YCR096C,HMRA2,0.0067177596652144
40,YOL158C,ENB1,0.025881354480819536
41,YFL054C,AQY3,0.006950410325613392
42,Q0115,BI3,0.006993808759458841
43,YPL268W,PLC1,0.007203265116818696
44,YMR100W,MUB1,0.008987623466529123
45,YDL109C,YDL109C,0.0074524191699151575
46,YFL060C,SNO3,0.01830246971531816
47,YGL113W,SLD3,0.017335477672637052
48,YOR137C,SIA1,0.01993200701790388
49,YJL083W,TAX4,0.007910027210693267
50,YNL172W,APC1,0.018127877851712337
51,YPL230W,USV1,0.017737184198737904
52,YFR027W,ECO1,0.008027046047542612
53,YLR288C,MEC3,0.008135755058855002
54,YLL054C,YLL054C,0.008046019405288046
55,YHR184W,SSP1,0.008268577408889399
56,YDR332W,IRC3,0.006958909748031262
57,YPL164C,MLH3,0.018251001301654364
58,YKR098C,UBP11,0.008420450055606512
59,YFL062W,COS4,0.008550605201807384
60,YBR136W,MEC1,0.0129195976316299
61,YBL005W,PDR3,0.022280551030169495
62,YOR208W,PTP2,0.01692976103138137
63,YCR032W,BPH1,0.036101998388376945
64,YOR129C,AFI1,0.030058297540916115
65,YBL014C,RRN6,0.020721831630536307
66,YPL158C,AIM44,0.026014315405013873
67,YMR111C,YMR111C,0.012196905855945387
68,YDR522C,SPS2,0.00909577314071696
69,YFL053W,DAK2,0.009419830385997096
70,YDL194W,SNF3,0.009516166016968586
71,YML099C,ARG81,0.019917190406515402
72,YNR059W,MNT4,0.0096364453068868
73,YCL058W-A,ADF1,0.009764573999387948
74,YDR179W-A,NVJ3,0.016172123720060768
75,YLR049C,YLR049C,0.009902462057170602
76,YKL072W,STB6,0.02425458899531369
77,YKR009C,FOX2,0.045557529408399446
78,YOR172W,YRM1,0.020851998420822516
79,YHR079C,IRE1,0.02734661225439674
80,YPL174C,NIP100,0.016889631678197507
