MATa orf_name,MATa gene_name,MATalpha orf_name,MATalpha_gene_name,intensity,PPV%
YJR155W,AAD10,YCR042C,TAF2,21399,99.3710692
YFL057C,AAD16,YHR080C,YHR080C,20048,98.6666667
YJR108W,ABM1,YOR393W,ERR1,27637,99.3150685
YJR108W,ABM1,YBR255C-A,YBR255C-A,53221,99.0
YJR108W,ABM1,YBR296C-A,YBR296C-A,48548,99.0
YJR108W,ABM1,YNL026W,SAM50,36243,99.0
YGR037C,ACB1,YBR234C,ARC40,30046,99.2647059
YGR037C,ACB1,YGL137W,SEC27,25957,98.7261146
YGR037C,ACB1,YMR120C,ADE17,38238,99.0
YGR037C,ACB1,YML086C,ALO1,28338,99.3006992999999
YGR037C,ACB1,YEL051W,VMA8,39560,99.0
YGR037C,ACB1,YML058W-A,HUG1,32604,99.0
YGR037C,ACB1,YDR238C,SEC26,25507,98.7261146
YGR037C,ACB1,YGL202W,ARO8,51773,99.0
YGR037C,ACB1,YPR035W,GLN1,55084,99.0
YGR037C,ACB1,YGR094W,VAS1,48567,99.0
YGR037C,ACB1,YHR179W,OYE2,40099,99.0
YGR037C,ACB1,YOR332W,VMA4,40450,99.0
YGR037C,ACB1,YBR011C,IPP1,50898,99.0
YGR037C,ACB1,YFL014W,HSP12,27146,99.3197279
YGR037C,ACB1,YGR155W,CYS4,26860,98.6754967
YGR037C,ACB1,YER070W,RNR1,32658,99.0
YGR037C,ACB1,YJL026W,RNR2,36148,99.0
YGR037C,ACB1,YNL014W,HEF3,58083,99.0
YGR037C,ACB1,YJL187C,SWE1,34412,99.0
YGR037C,ACB1,YGL180W,ATG1,35973,99.0
YGR037C,ACB1,YOR298C-A,MBF1,30096,99.2647059
YGR037C,ACB1,YKL210W,UBA1,38390,99.0
YGR037C,ACB1,YEL017C-A,PMP2,39081,99.0
YGR037C,ACB1,YDR276C,PMP3,37262,99.0
YGR037C,ACB1,YCL025C,AGP1,41891,99.0
YAL054C,ACS1,YAR035W,YAT1,28675,99.270073
YLR028C,ADE16,YMR120C,ADE17,82177,99.0
YLR028C,ADE16,YEL051W,VMA8,23746,99.3103448
YLR028C,ADE16,YLR027C,AAT2,27722,99.0
YLR028C,ADE16,YDR028C,REG1,36797,99.0
YLR028C,ADE16,YML058W-A,HUG1,22860,99.3150685
YLR028C,ADE16,YLR028C,ADE16,96118,99.0
YLR028C,ADE16,YGL202W,ARO8,40381,99.0
YLR028C,ADE16,YPR035W,GLN1,31047,99.0
YLR028C,ADE16,YGR094W,VAS1,39527,99.0
YLR028C,ADE16,YOR332W,VMA4,24914,99.2907800999999
YLR028C,ADE16,YBR011C,IPP1,29979,99.0
YLR028C,ADE16,YFL014W,HSP12,28743,99.0
YLR028C,ADE16,YLR438W,CAR2,29579,99.0
YLR028C,ADE16,YGR155W,CYS4,25136,99.2907800999999
YLR028C,ADE16,YER070W,RNR1,34888,99.0
YMR120C,ADE17,YGL137W,SEC27,30121,99.2537313
YMR120C,ADE17,YMR120C,ADE17,75037,99.0
YMR120C,ADE17,YNL247W,YNL247W,24708,98.7341771999999
YMR120C,ADE17,YML086C,ALO1,26322,99.3288591
YMR120C,ADE17,YEL051W,VMA8,31099,99.0
YMR120C,ADE17,YLR028C,ADE16,57639,99.0
YMR120C,ADE17,YGL202W,ARO8,47804,99.0
YMR120C,ADE17,YPR035W,GLN1,38537,99.0
YMR120C,ADE17,YGR094W,VAS1,47355,99.0
YMR120C,ADE17,YHR179W,OYE2,35688,99.0
YMR120C,ADE17,YOR332W,VMA4,27563,99.3150685
YMR120C,ADE17,YBR011C,IPP1,37617,99.0
YMR120C,ADE17,YGL125W,MET13,33527,99.0
YMR120C,ADE17,YER043C,SAH1,25048,98.7261146
YMR300C,ADE4,YMR300C,ADE4,133108,99.0
YMR300C,ADE4,YBR243C,ALG7,57821,99.0
YMR300C,ADE4,YGL202W,ARO8,29311,99.2857143
YMR300C,ADE4,YPR035W,GLN1,53913,99.0
YMR300C,ADE4,YOR332W,VMA4,27539,99.3150685
YMR300C,ADE4,YBR011C,IPP1,24718,98.7341771999999
YMR300C,ADE4,YGR155W,CYS4,39071,99.0
YMR300C,ADE4,YER070W,RNR1,35418,99.0
YMR300C,ADE4,YJL026W,RNR2,36111,99.0
YMR300C,ADE4,YER043C,SAH1,38735,99.0
YGL256W,ADH4,YLR182W,SWI6,23365,98.757764
YBR145W,ADH5,YNL026W,SAM50,20322,98.6666667
YBR145W,ADH5,YGL202W,ARO8,25856,99.0
YBR145W,ADH5,YKL210W,UBA1,20617,98.6666667
YCR011C,ADP1,YEL017C-A,PMP2,35170,99.0
YCR011C,ADP1,YDR276C,PMP3,22501,99.0
YCR011C,ADP1,YCL025C,AGP1,31272,99.0
YLR397C,AFG2,YLR397C,AFG2,37158,99.0
YIL044C,AGE2,YGL206C,CHC1,44413,99.0
YBR132C,AGP2,YBR052C,RFS1,31407,99.0
YBR132C,AGP2,YDR276C,PMP3,28204,99.3006992999999
YDL175C,AIR2,YHR080C,YHR080C,20131,98.6666667
