"Protein_A","Protein_B","Abd_A","Abd_B","Colony_Size"
"AAR2","LSM1","2.55",1066,23584
"ABD1","TAF2","18.4","8.01",21605
"ABD1","ECM4","18.4","21.9",21005
"ABD1","RNR2","18.4",352,21044
"ABF2","UBP6",640,126,21573
"ABF2","YCS4",640,"2.11",21784
"ABF2","NTF2",640,486,21616
"ABF2","ARF3",640,"35.9",21254
"ABF2","TPK2",640,"61.4",21436
"ABF2","LSM1",640,1066,28920
"ACA1","SAC7",316,"14.5",23986
"ACA1","ERR1",316,"80.4",27965
"ACA1","ECM4",316,"21.9",31245
"ACA1","DBP5",316,156,23730
"ACB1","ARC40",1369,"78.7",30046
"ACB1","SEC27",1369,151,25957
"ACB1","ADE17",1369,351,38238
"ACB1","ALO1",1369,104,28338
"ACB1","ARC15",1369,161,20811
"ACB1","VMA7",1369,289,24584
"ACB1","VMA8",1369,122,39560
"ACB1","HUG1",1369,"1.82",32604
"ACB1","LYS1",1369,135,22124
"ACB1","ARF3",1369,"35.9",20824
"ACB1","CHC1",1369,178,21733
"ACB1","SEC26",1369,105,25507
"ACB1","ARO8",1369,343,51773
"ACB1","GLN1",1369,430,55084
"ACB1","VAS1",1369,324,48567
"ACB1","OYE2",1369,647,40099
"ACB1","VMA4",1369,907,40450
"ACB1","IPP1",1369,1633,50898
"ACB1","HSP12",1369,1942,27146
"ACB1","CYS4",1369,734,26860
"ACB1","RNR1",1369,120,32658
"ACB1","RNR2",1369,352,36148
"ACB1","MET13",1369,"27.3",23984
"ACB1","HEF3",1369,355,58083
"ACB1","SWE1",1369,"75.1",34412
"ACB1","ATG1",1369,10,35973
"ACB1","MBF1",1369,1007,30096
"ACB1","UBA1",1369,284,38390
"ACB1","RTN1",1369,542,21090
"ACB1","AGP1",1369,"10.6",41891
"ACB1","OST1",1369,"52.8",22447
"ACE2","ECM4","6.67","21.9",23163
"ACF2","YHR078W","7.4",109,21925
"ACH1","ERR1",549,"80.4",21819
"ACH1","YHR078W",549,109,21540
"ACP1","ARF3",320,"35.9",20139
"ACS1","YAT1",115,"16.7",28675
"ADE16","ADE17",187,351,82177
"ADE16","VMA8",187,122,23746
"ADE16","AAT2",187,474,27722
"ADE16","REG1",187,"57.5",36797
"ADE16","HUG1",187,"1.82",22860
"ADE16","ADE16",187,187,96118
"ADE16","ARO8",187,343,40381
"ADE16","GLN1",187,430,31047
"ADE16","VAS1",187,324,39527
"ADE16","VMA4",187,907,24914
"ADE16","IPP1",187,1633,29979
"ADE16","HSP12",187,1942,28743
"ADE16","CAR2",187,308,29579
"ADE16","CYS4",187,734,25136
"ADE16","RNR1",187,120,34888
"ADE16","RNR2",187,352,20910
"ADE16","SAH1",187,1129,20375
"ADE17","ARC40",351,"78.7",20121
"ADE17","SEC27",351,151,30121
"ADE17","BNA3",351,"69.6",21644
"ADE17","SRO9",351,441,22345
"ADE17","BUD20",351,"78.8",20974
"ADE17","ADE17",351,351,75037
"ADE17","YNL247W",351,149,24708
"ADE17","ALO1",351,104,26322
"ADE17","VMA8",351,122,31099
"ADE17","ADE16",351,187,57639
"ADE17","URA4",351,110,20561
"ADE17","YDC1",351,"10.1",22844
"ADE17","YLR257W",351,141,20483
"ADE17","ARO8",351,343,47804
"ADE17","GLN1",351,430,38537
"ADE17","VAS1",351,324,47355
"ADE17","OYE2",351,647,35688
"ADE17","VMA4",351,907,27563
"ADE17","IPP1",351,1633,37617
"ADE17","HSP12",351,1942,20096
"ADE17","CAR2",351,308,20343
"ADE17","RNR1",351,120,22456
"ADE17","MET13",351,"27.3",33527
"ADE17","SAH1",351,1129,25048
"ADE4","ADE4",140,140,133108
"ADE4","BNA3",140,"69.6",21695
"ADE4","ALO1",140,104,24613
"ADE4","ALG7",140,394,57821
"ADE4","DBP5",140,156,20760
"ADE4","ARO8",140,343,29311
"ADE4","GLN1",140,430,53913
"ADE4","VAS1",140,324,22608
"ADE4","VMA4",140,907,27539
"ADE4","IPP1",140,1633,24718
"ADE4","CYS4",140,734,39071
"ADE4","RNR1",140,120,35418
"ADE4","RNR2",140,352,36111
"ADE4","SAH1",140,1129,38735
"ADH1","SNT1",9310,"5.68",20914
"ADH4","RPN3","73.9","75.8",22196
"ADH4","SWI6","73.9","33.6",23365
"ADH5","SAM50",163,"13.5",20322
"ADH5","ARO8",163,343,25856
"ADH5","UBA1",163,284,20617
"ADP1","AGP1","18.2","10.6",31272
"ADR1","TAF2","11.2","8.01",25086
"AEP3","MSH2",544,"13.7",20682
"AEP3","FAR11",544,"2.96",22166
"AFG2","AFG2","20.2","20.2",37158
"AFR1","KAR2",339,649,21699
"AFR1","SET5",339,"14.0",20644
"AFR1","RIM11",339,"35.7",21678
"AFR1","ADK2",339,"2.36",20577
"AFR1","YHR078W",339,109,21940
"AFR1","TAF2",339,"8.01",21572
"AFR1","SAM50",339,"13.5",21696
"AFR1","DBP5",339,156,27584
"AFT1","RIX7","4.58","30.2",26520
"AFT1","SAM50","4.58","13.5",28427
"AFT1","DBP5","4.58",156,26128
"AFT2","URE2",255,"27.6",22365
"AGE2","CHC1","76.8",178,44413
"AGP2","PMC1","1.44","14.7",24073
"AGP2","RFS1","1.44",125,31407
"AGP2","ERR1","1.44","80.4",20894
"AGP2","AGP1","1.44","10.6",22459
"AKR1","SFT2","13.8","24.8",50980
"AKR1","YCR043C","13.8","15.1",52843
"AKR1","GTT1","13.8",112,22331
"AKR1","NEO1","13.8","7.74",25862
"AKR1","PEP1","13.8","26.4",21934
