Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YMR191W,SPG5,Verified,3.359783478,3.359783478,,,,3.359783478,,,,,,,,,,,,,,,,,,
YJL093C,TOK1,Verified,3.8042278,3.8042278,,,,3.8042278,,,,,,,,,,,,,,,,,,
YER184C,TOG1,Verified,4.725729622,4.725729622,,,,4.725729622,,,,,,,,,,,,,,,,,,
YGL063W,PUS2,Verified,5.497247283,5.497247283,,,,5.497247283,,,,,,,,,,,,,,,,,,
YPL159C,PET20,Verified,6.922928984,6.922928984,,,,6.922928984,,,,,,,,,,,,,,,,,,
YDR106W,ARP10,Verified,8.009892768,8.009892768,,,,8.009892768,,,,,,,,,,,,,,,,,,
YIR025W,MND2,Verified,8.405220024,8.405220024,,,,8.405220024,,,,,,,,,,,,,,,,,,
YDR082W,STN1,Verified,13.85543871,13.85543871,,,,13.85543871,,,,,,,,,,,,,,,,,,
YLR443W,ECM7,Verified,13.88987485,13.88987485,,,,13.88987485,,,,,,,,,,,,,,,,,,
YNL038W,GPI15,Verified,15.24110205,15.24110205,,,,15.24110205,,,,,,,,,,,,,,,,,,
YMR187C,YMR187C,Uncharacterized,15.34657126,15.34657126,,,,15.34657126,,,,,,,,,,,,,,,,,,
YJR106W,ECM27,Verified,16.4629641,16.4629641,,,,16.4629641,,,,,,,,,,,,,,,,,,
YNR063W,YNR063W,Uncharacterized,17.75506186,17.75506186,,,,17.75506186,,,,,,,,,,,,,,,,,,
YBR297W,MAL33,Verified,19.35830251,19.35830251,,,,19.35830251,,,,,,,,,,,,,,,,,,
YDR126W,SWF1,Verified,35.65229796,35.65229796,,,,35.65229796,,,,,,,,,,,,,,,,,,
YJL213W,YJL213W,Verified,58.410894243,58.410894243,,,,,,58.410894243,,,,,,,,,,,,,,,,
YJR126C,VPS70,Verified,59.883489719,59.883489719,123.078791848635,,,7.766979438,,,,,,,,,,,,,,,,,,112
YHR176W,FMO1,Verified,531.45402339824,80.6437517847206,147.725988222767,,1438,75.71831841,,,,,,80.6437517847206,,,,,,,,,,,,
YOL043C,NTG2,Verified,89.800423195,89.800423195,55.433724181153,,,54.60084639,,,,,,,,,,,,,,,,,,125
YLR210W,CLB4,Verified,98.9,98.9,,,,,,,,,,,,,,,,,,,,,,98.9
YHR015W,MIP6,Verified,98.9,98.9,,,,,,,,,,,,,,,,,,,,,,98.9
YDR314C,RAD34,Verified,309.969210699823,114.307632099468,119.447420396905,,737,,,,,,,114.307632099468,,,,,,,,,,,,78.6
YKR041W,YKR041W,Verified,116.76634269,116.76634269,121.397822616053,,,16.53268538,,,,,,,,,,,,,,,,,,217
YMR190C,SGS1,Verified,120.18724135159,120.18724135159,135.124017008913,,,5.35180718,,,,,,,,235.02267552318,,,,,,,,,,
YOL152W,FRE7,Verified,120.3475218,120.3475218,,,,120.3475218,,,,,,,,,,,,,,,,,,
YBR004C,GPI18,Verified,647.503530012807,122.722789506546,151.822970739745,,,38.19494714,,,122.722789506546,,,,,,,,,,,1781.59285339188,,,,
YCR073C,SSK22,Verified,122.95,122.95,75.9730018664034,,189,,,,,,,,,,,,,,,,,,,56.9
YEL070W,DSF1,Verified,125,125,,,,,,,,,,,,,,,,,,,,,,125
YIR039C,YPS6,Verified,125.4903748,125.4903748,,,,125.4903748,,,,,,,,,,,,,,,,,,
